Title,Description,Thumbnail url,Channel name,Views,Likes,Comments,Duration in seconds,Duration in timestamp,Duration,Uploaded Time,Video url
@ConwayShow - Jay Leno remembers legendary comedian Norm Macdonald,"The comedy world was shaken today as one of the most prolific and well-respected comedians in the business, Norm Macdonald, died at the age of 61. Jay Leno joined the Tim Conway Show with some of his favorite memories of the legendary comedian. 

STAY CONNECTED!!!_x000d_
► Listen Live: https://kfiam640.iheart.com/listen_x000d_
► Facebook: https://www.facebook.com/kfiam640_x000d_
► Twitter: https://twitter.com/KFIAM640_x000d_
► Instagram: https://www.instagram.com/KFIAM640/_x000d_
► Read the Full Article:",https://i.ytimg.com/vi/kfpjapjXzyk/maxresdefault.jpg,KFI AM 640,95217,1966,369,1045,17:25,"17 Minutes, 25 Seconds",2021-09-15T02:56:08,https://www.youtube.com/watch?v=kfpjapjXzyk
A Frog goes into a Bank to get a Loan (Norm Macdonald Joke),,https://i.ytimg.com/vi/vbkjO0a3xJQ/maxresdefault.jpg,Norm Shorts ,2537081,45320,1953,136,2:16,"2 Minutes, 16 Seconds",2022-12-10T23:00:31,https://www.youtube.com/watch?v=vbkjO0a3xJQ
A Minute With Stan Hooper - Episode 6 - Norm Macdonald,A Minute With Stan Hooper - Episode 6 - featuring Norm Macdonald.,https://i.ytimg.com/vi/OgeiSJk6Eyw/hqdefault.jpg,Jens14,28432,160,30,1246,20:46,"20 Minutes, 46 Seconds",2013-03-19T22:33:17,https://www.youtube.com/watch?v=OgeiSJk6Eyw
A Minute With Stan Hooper - Episode 7 - Norm Macdonald,A Minute With Stan Hooper - Episode 7 - featuring Norm Macdonald.,https://i.ytimg.com/vi/XhDD87u3QFM/hqdefault.jpg,Jens14,22262,103,14,1224,20:24,"20 Minutes, 24 Seconds",2013-03-20T18:43:51,https://www.youtube.com/watch?v=XhDD87u3QFM
A Tribute to Norm Macdonald,"Norm Macdonald is undoubtedly one of the greatest comedians to ever walk the face of the planet. He is my absolute favorite comedian for so many reasons I couldn't  list them all if I tried. A few reasons that stand out are his absolutely masterful comedic timing and delivery, his intelligent and carefully-crafted observations, and his ability to be honest in a world full of deception. Norm Macdonald is undoubtedly a comedian's comedian. He was known in the mainstream for being on Billy Madison and Saturday Night Live, but aside from that his stand up and late night appearances really solidified why his comedic voice stood out from the rest. Louis C.K described Norm Macdonald as the closest comedian to Mark Twain because of his voice, and ability. Another thing I absolutely adored about Norm's comedy was the simplicity of his style. He would deliver things that everyone has observed before, but he'd do it in a humble manner that would catch you off-guard and make you laugh endlessly. There are often comedians that can be grouped together for a certain genre or style, but for Norm there is simply no comedian like him. He was truly an enigma because of his comedic voice, and there will never be another person like him. Norm left behind a legacy that no fan will ever forget. He's been an inspiration to many seasoned comedians and also young comedians like myself. I aspire to one day be able to do something similar to what this amazing man did on stage. The world of stand-up comedy is a slightly darker place without Norm Macdonald. I hope you guys enjoyed this tribute video. God Bless Norm Macdonald, may he rest in peace.

""It's one thing to make people laugh, it's another to make people smile.""
- Norm Macdonald",https://i.ytimg.com/vi/aEaSbwUu9W0/maxresdefault.jpg,The Comedy Historian,2605928,33555,1740,2171,36:11,"36 Minutes, 11 Seconds",2021-09-16T21:21:32,https://www.youtube.com/watch?v=aEaSbwUu9W0
A Weekend Update Reunion (feat. Norm Macdonald) - Lights Out with David Spade,"Former Weekend Update anchors Norm Macdonald, Dennis Miller and Kevin Nealon visit David Spade to interrupt his monologue and reminisce about their time on “SNL.”_x000d_

About Lights Out with David Spade: 
Specializing in celebrities, entertainment and all things apolitical, comedy legend David Spade and a panel of his comedian friends are at the roundtable and in the field to help break down the biggest headlines of the day._x000d_

Subscribe to Lights Out with David Spade: https://www.youtube.com/channel/UCMi38pytm6Ca2KXc7ftlu_w ?sub_confirmation=1_x000d_

Watch more Comedy Central: https://www.youtube.com/comedycentral_x000d_

Follow Lights Out with David Spade:
Twitter: https://twitter.com/LightsOut
Facebook: https://www.facebook.com/lightsout
Instagram: https://www.instagram.com/lightsout
 
Follow Comedy Central:
Twitter: https://twitter.com/ComedyCentral
Facebook: https://www.facebook.com/ComedyCentral
Instagram: https://www.instagram.com/comedycentral",https://i.ytimg.com/vi/EbanVqLk1lQ/maxresdefault.jpg,Lights Out with David Spade,1565690,19346,1485,469,7:49,"7 Minutes, 49 Seconds",2019-12-03T03:43:14,https://www.youtube.com/watch?v=EbanVqLk1lQ
"A joke, by Adam Eget.",Adam Eget doing important comedy.,https://i.ytimg.com/vi/MoNiN92imxM/maxresdefault.jpg,Fiery Stag,71248,1514,85,48,0:48,48 Seconds,2021-10-08T02:24:25,https://www.youtube.com/watch?v=MoNiN92imxM
A rather shallow theory,"Source: Norm Macdonald Live S02E08
Help me get a doghouse https://www.buymeacoffee.com/normclipdonald
 
This channel is merely an old chunk of coal tryin' to spread some of the many great Norm Macdonald moments. Enjoy!",https://i.ytimg.com/vi/CWxG1yOXGWk/maxresdefault.jpg,Norm Clipdonald,63755,2003,50,42,0:42,42 Seconds,2022-10-13T03:00:09,https://www.youtube.com/watch?v=CWxG1yOXGWk
ARE YOU SERIOUS?? - Norm Macdonald | Compilation,"Go follow our hero Norm himself here
https://www.youtube.com/channel/UCWiHJYoHWyO56dlo_vjTleA

Consider liking the video and subscribing as well it helps",https://i.ytimg.com/vi/SKeIdJfzpM4/maxresdefault.jpg,CureofQuarantine,944588,11970,742,1665,27:45,"27 Minutes, 45 Seconds",2020-10-10T14:38:07,https://www.youtube.com/watch?v=SKeIdJfzpM4
ARE YOU SERIOUS?? - Norm Macdonald | Compilation,"Go follow our hero Norm himself here
https://www.youtube.com/channel/UCWiHJYoHWyO56dlo_vjTleA

Consider liking the video and subscribing as well it helps",https://i.ytimg.com/vi/SKeIdJfzpM4/maxresdefault.jpg,CureofQuarantine,944588,11970,742,1665,27:45,"27 Minutes, 45 Seconds",2020-10-10T14:38:07,https://www.youtube.com/watch?v=SKeIdJfzpM4
A
(Content truncated due to size limit. Use page ranges or line ranges to read remaining content)
